bankName,reportingPeriod,receipts,expenditures,merchantProviderFees,startBalance,creditTotal,subtotal,expenditureTotal,endBalance,filerReportedDepositReceiptUnitemizedTotal,filerReportedDepositReceiptItemizedTotal,filerReportedDepositReceiptTotal,merchantProviderFeeTotal,id,reportId,reportTypeId,reportTypeDescription,recordTypeId,cpfId,filerCategory,filingMechanism,reportYear,endDate,dateFiled,dateFiledMedium,isAmendment,isQualifiedAmendment,isAmended,amendmentReason,previousReportId,nextReportId,isCandidateReport,isPeriodicReport,isDepositoryPeriodicReport,isNd102,isDepositReport,isBankReport,isLateContributionReport,isExpenseReport,isReimbursementReport,isSv1,isDonationReport,isCreditCardReport,isIePacReport,isPayrollReport,IsIndependentSpendingReport
East Cambridge Savings Bank,8/16/2019 - 8/31/2019,[],[],[],"$5,911.84",$0.24,"$5,912.08","$1,257.18","$4,654.90",$0.00,$0.00,$0.00,$0.00,709566,709566,72,Bank Report,105,12222,D,,2019,8/31/2019,9/3/2019,"Tuesday, September 3, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,8/1/2019 - 8/15/2019,[],[],[],"$6,171.72",$290.12,"$6,461.84",$550.00,"$5,911.84",$0.00,$0.00,$0.00,$0.00,707665,707665,71,Bank Report,105,12222,D,,2019,8/15/2019,8/16/2019,"Friday, August 16, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,7/16/2019 - 7/31/2019,[],[],[],"$6,170.21",$548.30,"$6,718.51",$546.79,"$6,171.72",$0.00,$0.00,$0.00,$0.00,706237,706237,72,Bank Report,105,12222,D,,2019,7/31/2019,8/2/2019,"Friday, August 2, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,7/1/2019 - 7/15/2019,[],[],[],"$6,720.21",$0.00,"$6,720.21",$550.00,"$6,170.21",$0.00,$0.00,$0.00,$0.00,703663,703663,71,Bank Report,105,12222,D,,2019,7/15/2019,7/16/2019,"Tuesday, July 16, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,6/16/2019 - 6/30/2019,[],[],[],"$7,154.93",$0.28,"$7,155.21",$435.00,"$6,720.21",$0.00,$0.00,$0.00,$0.00,702115,702115,72,Bank Report,105,12222,D,,2019,6/30/2019,7/1/2019,"Monday, July 1, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,6/1/2019 - 6/15/2019,[],[],[],"$7,719.93",$0.00,"$7,719.93",$565.00,"$7,154.93",$0.00,$0.00,$0.00,$0.00,700191,700191,71,Bank Report,105,12222,D,,2019,6/15/2019,6/17/2019,"Monday, June 17, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,5/16/2019 - 5/31/2019,[],[],[],"$7,859.45",$0.34,"$7,859.79",$139.86,"$7,719.93",$0.00,$0.00,$0.00,$0.00,698564,698564,72,Bank Report,105,12222,D,,2019,5/31/2019,6/3/2019,"Monday, June 3, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,5/1/2019 - 5/15/2019,[],[],[],"$8,750.35",$0.00,"$8,750.35",$890.90,"$7,859.45",$0.00,$0.00,$0.00,$0.00,696948,696948,71,Bank Report,105,12222,D,,2019,5/15/2019,5/16/2019,"Thursday, May 16, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,4/16/2019 - 4/30/2019,[],[],[],"$8,854.31",$0.38,"$8,854.69",$104.34,"$8,750.35",$0.00,$0.00,$0.00,$0.00,695371,695371,72,Bank Report,105,12222,D,,2019,4/30/2019,5/1/2019,"Wednesday, May 1, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,4/1/2019 - 4/15/2019,[],[],[],"$9,424.08",$0.00,"$9,424.08",$569.77,"$8,854.31",$0.00,$0.00,$0.00,$0.00,693949,693949,71,Bank Report,105,12222,D,,2019,4/15/2019,4/16/2019,"Tuesday, April 16, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,3/16/2019 - 3/31/2019,[],[],[],"$9,364.79",$200.39,"$9,565.18",$141.10,"$9,424.08",$0.00,$0.00,$0.00,$0.00,692373,692373,72,Bank Report,105,12222,D,,2019,3/31/2019,4/1/2019,"Monday, April 1, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
East Cambridge Savings Bank,3/1/2019 - 3/15/2019,[],[],[],"$10,052.69",$0.00,"$10,052.69",$687.90,"$9,364.79",$0.00,$0.00,$0.00,$0.00,691258,691258,71,Bank Report,105,12222,D,,2019,3/15/2019,3/19/2019,"Tuesday, March 19, 2019",False,False,False,,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
