ReceiptTotalDisplay,Reimbursee,FilingDate,ReceiptTotal,ReportTypeId,EndingDateDisplay,EndingBalanceDisplay,ReportCandidateFirstName,ReceiptItemizedTotalDisplay,BeginningBalanceDisplay,ReportTypeDescription,ExpenditureItemizedTotalDisplay,Category,ReceiptUnitemizedTotalDisplay,InkindTotalDisplay,ReportYear,ExpenditureTotalDisplay,ReportingPeriod,SavingsTotalDisplay,IsAmendment,Ui,PaymentsDisplay,LiabilityTotalDisplay,BeginningDateDisplay,AmendmentReason,FilingDateShortDisplay,ExpenditureUnitemizedTotalDisplay,FullNameReverse,CpfId,FilingId,IsAmended,Id,ReportId,FilingMechanism,FilingDateDisplay
$0.00,,2016-04-19T11:52:41.783,0.0,71,4/15/2016,$0.00,Mariko,$0.00,$0.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,4/1 - 4/15/2016,$0.00,False,,$0.00,$0.00,4/1/2016,,4/19/2016,$0.00,"Davidson, Mariko",16129,60002,False,569835,569835,Bank Reporter 3,4/19/2016
$0.00,,2016-03-16T13:33:57.327,0.0,71,3/15/2016,$0.00,Mariko,$0.00,$0.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,3/1 - 3/15/2016,$0.00,False,,$0.00,$0.00,3/1/2016,,3/16/2016,$0.00,"Davidson, Mariko",16129,60002,False,566888,566888,Bank Reporter 3,3/16/2016
$0.00,,2016-03-02T11:42:13.103,0.0,72,2/29/2016,$0.00,Mariko,$0.00,$0.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,2/16 - 2/28-29/2016,$0.00,False,,$0.00,$0.00,2/16/2016,,3/2/2016,$0.00,"Davidson, Mariko",16129,60002,False,565412,565412,Bank Reporter 3,3/2/2016
$0.00,,2016-02-16T15:05:00.247,0.0,71,2/15/2016,$0.00,Mariko,$0.00,$0.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,2/1 - 2/15/2016,$0.00,False,,$0.00,$0.00,2/1/2016,,2/16/2016,$0.00,"Davidson, Mariko",16129,60002,False,564148,564148,Bank Reporter 3,2/16/2016
$0.00,,2016-02-01T14:50:52.703,0.0,72,1/31/2016,$0.00,Mariko,$0.00,$0.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,1/16 - 1/31/2016,$0.00,False,,$0.00,$0.00,1/16/2016,,2/1/2016,$0.00,"Davidson, Mariko",16129,60002,False,563002,563002,Bank Reporter 3,2/1/2016
$0.00,,2016-01-19T13:13:08.81,0.0,71,1/15/2016,$0.00,Mariko,$0.00,$0.00,Bank Report,$0.00,D,$0.00,$0.00,2016,$0.00,1/1 - 1/15/2016,$0.00,False,,$0.00,$0.00,1/1/2016,,1/19/2016,$0.00,"Davidson, Mariko",16129,60002,False,561010,561010,Bank Reporter 3,1/19/2016
$0.00,,2016-01-04T12:46:24.68,0.0,72,12/31/2015,$0.00,Mariko,$0.00,$595.08,Bank Report,$595.08,D,$0.00,$0.00,2015,$595.08,12/16 - 12/31/2015,$0.00,False,,$0.00,$0.00,12/16/2015,,1/4/2016,$0.00,"Davidson, Mariko",16129,60002,False,558398,558398,Bank Reporter 3,1/4/2016
$28.81,,2015-12-17T18:00:28.2,28.81,71,12/15/2015,$595.08,Mariko,$28.81,$967.65,Bank Report,$401.38,D,$0.00,$0.00,2015,$401.38,12/1 - 12/15/2015,$0.00,False,,$0.00,$0.00,12/1/2015,,12/17/2015,$0.00,"Davidson, Mariko",16129,60002,False,557265,557265,Bank Reporter 3,12/17/2015
$0.00,,2015-12-01T17:20:10.277,0.0,72,11/30/2015,$967.65,Mariko,$0.00,"$2,595.03",Bank Report,"$1,627.38",D,$0.00,$0.00,2015,"$1,627.38",11/16 - 11/30/2015,$0.00,False,,$0.00,$0.00,11/16/2015,,12/1/2015,$0.00,"Davidson, Mariko",16129,60002,False,555464,555464,Bank Reporter 3,12/1/2015
"$1,887.57",,2015-11-17T18:32:52.017,1887.57,71,11/15/2015,"$2,595.03",Mariko,"$1,887.57","$2,433.47",Bank Report,"$1,726.01",D,$0.00,$0.00,2015,"$1,726.01",11/1 - 11/15/2015,$0.00,False,,$0.00,$0.00,11/1/2015,,11/17/2015,$0.00,"Davidson, Mariko",16129,60002,False,554032,554032,Bank Reporter 3,11/17/2015
"$2,009.15",,2015-11-03T09:37:58.67,2009.15,72,10/31/2015,"$2,433.47",Mariko,"$2,009.15","$6,663.93",Bank Report,"$6,239.61",D,$0.00,$0.00,2015,"$6,239.61",10/16 - 10/31/2015,$0.00,False,,$0.00,$0.00,10/16/2015,,11/3/2015,$0.00,"Davidson, Mariko",16129,60002,False,552347,552347,Bank Reporter 3,11/3/2015
"$2,511.69",,2015-10-19T18:37:11.683,2511.69,71,10/15/2015,"$6,663.93",Mariko,"$2,511.69","$6,784.33",Bank Report,"$2,632.09",D,$0.00,$0.00,2015,"$2,632.09",10/1 - 10/15/2015,$0.00,False,,$0.00,$0.00,10/1/2015,,10/19/2015,$0.00,"Davidson, Mariko",16129,60002,False,550658,550658,Bank Reporter 3,10/19/2015
"$3,631.56",,2015-10-05T12:46:49.927,3631.56,72,9/30/2015,"$6,784.33",Mariko,"$3,631.56","$4,221.02",Bank Report,"$1,068.25",D,$0.00,$0.00,2015,"$1,068.25",9/16 - 9/30/2015,$0.00,False,,$0.00,$0.00,9/16/2015,,10/5/2015,$0.00,"Davidson, Mariko",16129,60002,False,548916,548916,Bank Reporter 3,10/5/2015
$370.63,,2015-09-18T08:11:51.86,370.63,71,9/15/2015,"$4,221.02",Mariko,$370.63,"$4,405.31",Bank Report,$554.92,D,$0.00,$0.00,2015,$554.92,9/1 - 9/15/2015,$0.00,False,,$0.00,$0.00,9/1/2015,,9/18/2015,$0.00,"Davidson, Mariko",16129,60002,False,546893,546893,Bank Reporter 3,9/18/2015
"$2,465.63",,2015-09-01T13:27:57.153,2465.63,72,8/31/2015,"$4,405.31",Mariko,"$2,465.63","$2,104.17",Bank Report,$164.49,D,$0.00,$0.00,2015,$164.49,8/16 - 8/31/2015,$0.00,False,,$0.00,$0.00,8/16/2015,,9/1/2015,$0.00,"Davidson, Mariko",16129,60002,False,544731,544731,Bank Reporter 3,9/1/2015
$983.74,,2015-08-18T08:30:20.213,983.74,71,8/15/2015,"$2,104.17",Mariko,$983.74,"$1,255.42",Bank Report,$134.99,D,$0.00,$0.00,2015,$134.99,8/1 - 8/15/2015,$0.00,False,,$0.00,$0.00,8/1/2015,,8/18/2015,$0.00,"Davidson, Mariko",16129,60002,False,543419,543419,Bank Reporter 3,8/18/2015
$611.47,,2015-08-03T13:51:13.32,611.47,72,7/31/2015,"$1,255.42",Mariko,$611.47,$712.02,Bank Report,$68.07,D,$0.00,$0.00,2015,$68.07,7/16 - 7/31/2015,$0.00,False,,$0.00,$0.00,7/16/2015,,8/3/2015,$0.00,"Davidson, Mariko",16129,60002,False,541497,541497,Bank Reporter 3,8/3/2015
$707.00,,2015-07-20T15:25:52.757,707.0,71,7/15/2015,$712.02,Mariko,$707.00,$25.00,Bank Report,$19.98,D,$0.00,$0.00,2015,$19.98,7/1 - 7/15/2015,$0.00,False,,$0.00,$0.00,7/1/2015,,7/20/2015,$0.00,"Davidson, Mariko",16129,60002,False,540114,540114,Bank Reporter 3,7/20/2015
$25.00,,2015-07-02T17:43:45.49,25.0,72,6/30/2015,$25.00,Mariko,$25.00,$0.00,Bank Report,$0.00,D,$0.00,$0.00,2015,$0.00,6/16 - 6/30/2015,$0.00,False,,$0.00,$0.00,6/16/2015,,7/2/2015,$0.00,"Davidsion, Mariko",16129,60002,False,537910,537910,Bank Reporter 3,7/2/2015
"$3,415.00",,2017-07-05T09:57:38.743,3415.0,72,6/30/2017,"$19,402.56",Sumbul,"$3,415.00","$16,492.54",Bank Report,$504.98,D,$0.00,$0.00,2017,$504.98,6/16 - 6/30/2017,$0.00,False,,$0.00,$0.00,6/16/2017,,7/5/2017,$0.00,"Siddiqui, Sumbul",16556,60013,False,616040,616040,Bank Reporter 3,7/5/2017
"$4,140.00",,2017-06-16T11:40:47.387,4140.0,71,6/15/2017,"$16,492.54",Sumbul,"$4,140.00","$15,192.98",Bank Report,"$2,840.44",D,$0.00,$0.00,2017,"$2,840.44",6/1 - 6/15/2017,$0.00,False,,$0.00,$0.00,6/1/2017,,6/16/2017,$0.00,"Siddiqui, Sumbul",16556,60013,False,613695,613695,Bank Reporter 3,6/16/2017
"$6,379.00",,2017-06-02T14:14:58.347,6379.0,72,5/31/2017,"$15,192.98",Sumbul,"$6,379.00","$10,819.82",Bank Report,"$2,005.84",D,$0.00,$0.00,2017,"$2,005.84",5/16 - 5/30/2017,$0.00,False,,$0.00,$0.00,5/16/2017,,6/2/2017,$0.00,"Siddiqui, Sumbul",16556,60013,False,612338,612338,Bank Reporter 3,6/2/2017
"$2,470.60",,2017-05-16T12:48:43.56,2470.6,71,5/15/2017,"$10,819.82",Sumbul,"$2,470.60","$8,797.08",Bank Report,$447.86,D,$0.00,$0.00,2017,$447.86,5/1 - 5/15/2017,$0.00,False,,$0.00,$0.00,5/1/2017,,5/16/2017,$0.00,"Siddiqui, Sumbul",16556,60013,False,610129,610129,Bank Reporter 3,5/16/2017
"$4,075.00",,2017-05-01T15:11:18.907,4075.0,72,4/30/2017,"$8,797.08",Sumbul,"$4,075.00","$4,922.08",Bank Report,$200.00,D,$0.00,$0.00,2017,$200.00,4/16 - 4/30/2017,$0.00,False,,$0.00,$0.00,4/16/2017,,5/1/2017,$0.00,"Siddiqui, Sumbul",16556,60013,False,608433,608433,Bank Reporter 3,5/1/2017
"$3,819.00",,2017-04-17T13:50:05.883,3819.0,71,4/15/2017,"$4,922.08",Sumbul,"$3,819.00","$1,271.00",Bank Report,$167.92,D,$0.00,$0.00,2017,$167.92,4/1 - 4/15/2017,$0.00,False,,$0.00,$0.00,4/1/2017,,4/17/2017,$0.00,"Siddiqui, Sumbul",16556,60013,False,606904,606904,Bank Reporter 3,4/17/2017
$0.00,,2017-04-03T15:07:33.747,0.0,72,3/31/2017,"$1,271.00",Sumbul,$0.00,"$1,271.00",Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,3/16 - 3/31/2017,$0.00,False,,$0.00,$0.00,3/16/2017,,4/3/2017,$0.00,"Siddiqui, Sumbul",16556,60013,False,605588,605588,Bank Reporter 3,4/3/2017
"$1,251.00",,2017-03-16T10:39:07.53,1251.0,71,3/15/2017,"$1,271.00",Sumbul,"$1,251.00",$20.00,Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,3/1 - 3/15/2017,$0.00,False,,$0.00,$0.00,3/1/2017,,3/16/2017,$0.00,"Siddiqui, Sumbul",16556,60013,False,603805,603805,Bank Reporter 3,3/16/2017
$20.00,,2017-03-01T14:41:01.07,20.0,72,2/28/2017,$20.00,Sumbul,$20.00,$0.00,Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,2/16 - 2/28-29/2017,$0.00,False,,$0.00,$0.00,2/16/2017,,3/1/2017,$0.00,"Siddiqui, Sumbul",16556,60013,False,602677,602677,Bank Reporter 3,3/1/2017
$0.00,,2017-08-16T13:14:21.9,0.0,71,8/15/2017,$15.00,Jefferson R.,$0.00,$15.00,Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,8/1 - 8/15/2017,$0.00,False,,$0.00,$0.00,8/1/2017,,8/16/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,621296,621296,Bank Reporter 3,8/16/2017
$0.00,,2017-08-01T09:43:28.02,0.0,72,7/31/2017,$15.00,Jefferson R.,$0.00,$20.00,Bank Report,$5.00,D,$0.00,$0.00,2017,$5.00,7/16 - 7/31/2017,$0.00,False,,$0.00,$0.00,7/16/2017,,8/1/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,619463,619463,Bank Reporter 3,8/1/2017
$0.00,,2017-07-17T14:22:00.863,0.0,71,7/15/2017,$20.00,Jefferson R.,$0.00,$20.00,Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,7/1 - 7/15/2017,$0.00,False,,$0.00,$0.00,7/1/2017,,7/17/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,617743,617743,Bank Reporter 3,7/17/2017
$0.00,,2017-07-05T10:19:46.123,0.0,72,6/30/2017,$20.00,Jefferson R.,$0.00,$25.00,Bank Report,$5.00,D,$0.00,$0.00,2017,$5.00,6/16 - 6/30/2017,$0.00,False,,$0.00,$0.00,6/16/2017,,7/5/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,616069,616069,Bank Reporter 3,7/5/2017
$0.00,,2017-06-16T11:51:34.843,0.0,71,6/15/2017,$25.00,Jefferson R.,$0.00,$25.00,Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,6/1 - 6/15/2017,$0.00,False,,$0.00,$0.00,6/1/2017,,6/16/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,613706,613706,Bank Reporter 3,6/16/2017
$0.00,,2017-06-02T14:35:46.947,0.0,72,5/31/2017,$25.00,Jefferson R.,$0.00,$30.00,Bank Report,$5.00,D,$0.00,$0.00,2017,$5.00,5/16 - 5/30/2017,$0.00,False,,$0.00,$0.00,5/16/2017,,6/2/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,612359,612359,Bank Reporter 3,6/2/2017
$0.00,,2017-05-16T11:29:45.657,0.0,71,5/15/2017,$30.00,Jefferson R.,$0.00,$30.00,Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,5/1 - 5/15/2017,$0.00,False,,$0.00,$0.00,5/1/2017,,5/16/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,610033,610033,Bank Reporter 3,5/16/2017
$0.00,,2017-05-01T15:18:47.633,0.0,72,4/30/2017,$30.00,Jefferson R.,$0.00,$35.00,Bank Report,$5.00,D,$0.00,$0.00,2017,$5.00,4/16 - 4/30/2017,$0.00,False,,$0.00,$0.00,4/16/2017,,5/1/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,608440,608440,Bank Reporter 3,5/1/2017
$0.00,,2017-04-17T13:24:45.5,0.0,71,4/15/2017,$35.00,Jefferson R.,$0.00,$35.00,Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,4/1 - 4/15/2017,$0.00,False,,$0.00,$0.00,4/1/2017,,4/17/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,606888,606888,Bank Reporter 3,4/17/2017
$0.00,,2017-04-03T14:54:34.203,0.0,72,3/31/2017,$35.00,Jefferson R.,$0.00,$40.00,Bank Report,$5.00,D,$0.00,$0.00,2017,$5.00,3/16 - 3/31/2017,$0.00,False,,$0.00,$0.00,3/16/2017,,4/3/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,605561,605561,Bank Reporter 3,4/3/2017
$0.00,,2017-03-16T10:26:07.983,0.0,71,3/15/2017,$40.00,Jefferson R.,$0.00,$40.00,Bank Report,$0.00,D,$0.00,$0.00,2017,$0.00,3/1 - 3/15/2017,$0.00,False,,$0.00,$0.00,3/1/2017,,3/16/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,603765,603765,Bank Reporter 3,3/16/2017
$0.00,,2017-03-01T14:36:32.177,0.0,72,2/28/2017,$40.00,Jefferson R.,$0.00,$45.00,Bank Report,$5.00,D,$0.00,$0.00,2017,$5.00,2/16 - 2/28-29/2017,$0.00,False,,$0.00,$0.00,2/16/2017,,3/1/2017,$0.00,"Smith, Jefferson R.",15628,60013,False,602671,602671,Bank Reporter 3,3/1/2017
