ReportCandidateFirstName,EndingBalanceDisplay,Category,ExpenditureUnitemizedTotalDisplay,BeginningBalanceDisplay,ReportTypeId,Id,ReceiptUnitemizedTotalDisplay,FilingId,Reimbursee,AmendmentReason,ReceiptItemizedTotalDisplay,ExpenditureItemizedTotalDisplay,FilingDate,FilingDateShortDisplay,FilingMechanism,ReceiptTotal,FullNameReverse,LiabilityTotalDisplay,SavingsTotalDisplay,EndingDateDisplay,BeginningDateDisplay,Ui,IsAmended,ReceiptTotalDisplay,PaymentsDisplay,CpfId,FilingDateDisplay,IsAmendment,ExpenditureTotalDisplay,ReportId,ReportYear,InkindTotalDisplay,ReportTypeDescription,ReportingPeriod
Mariko,$0.00,D,$0.00,$0.00,71,569835,$0.00,60002,,,$0.00,$0.00,2016-04-19T11:52:41.783,4/19/2016,Bank Reporter 3,0.0,"Davidson, Mariko",$0.00,$0.00,4/15/2016,4/1/2016,,False,$0.00,$0.00,16129,4/19/2016,False,$0.00,569835,2016,$0.00,Bank Report,4/1 - 4/15/2016
Mariko,$0.00,D,$0.00,$0.00,71,566888,$0.00,60002,,,$0.00,$0.00,2016-03-16T13:33:57.327,3/16/2016,Bank Reporter 3,0.0,"Davidson, Mariko",$0.00,$0.00,3/15/2016,3/1/2016,,False,$0.00,$0.00,16129,3/16/2016,False,$0.00,566888,2016,$0.00,Bank Report,3/1 - 3/15/2016
Mariko,$0.00,D,$0.00,$0.00,72,565412,$0.00,60002,,,$0.00,$0.00,2016-03-02T11:42:13.103,3/2/2016,Bank Reporter 3,0.0,"Davidson, Mariko",$0.00,$0.00,2/29/2016,2/16/2016,,False,$0.00,$0.00,16129,3/2/2016,False,$0.00,565412,2016,$0.00,Bank Report,2/16 - 2/28-29/2016
Mariko,$0.00,D,$0.00,$0.00,71,564148,$0.00,60002,,,$0.00,$0.00,2016-02-16T15:05:00.247,2/16/2016,Bank Reporter 3,0.0,"Davidson, Mariko",$0.00,$0.00,2/15/2016,2/1/2016,,False,$0.00,$0.00,16129,2/16/2016,False,$0.00,564148,2016,$0.00,Bank Report,2/1 - 2/15/2016
Mariko,$0.00,D,$0.00,$0.00,72,563002,$0.00,60002,,,$0.00,$0.00,2016-02-01T14:50:52.703,2/1/2016,Bank Reporter 3,0.0,"Davidson, Mariko",$0.00,$0.00,1/31/2016,1/16/2016,,False,$0.00,$0.00,16129,2/1/2016,False,$0.00,563002,2016,$0.00,Bank Report,1/16 - 1/31/2016
Mariko,$0.00,D,$0.00,$0.00,71,561010,$0.00,60002,,,$0.00,$0.00,2016-01-19T13:13:08.81,1/19/2016,Bank Reporter 3,0.0,"Davidson, Mariko",$0.00,$0.00,1/15/2016,1/1/2016,,False,$0.00,$0.00,16129,1/19/2016,False,$0.00,561010,2016,$0.00,Bank Report,1/1 - 1/15/2016
Mariko,$0.00,D,$0.00,$595.08,72,558398,$0.00,60002,,,$0.00,$595.08,2016-01-04T12:46:24.68,1/4/2016,Bank Reporter 3,0.0,"Davidson, Mariko",$0.00,$0.00,12/31/2015,12/16/2015,,False,$0.00,$0.00,16129,1/4/2016,False,$595.08,558398,2015,$0.00,Bank Report,12/16 - 12/31/2015
Mariko,$595.08,D,$0.00,$967.65,71,557265,$0.00,60002,,,$28.81,$401.38,2015-12-17T18:00:28.2,12/17/2015,Bank Reporter 3,28.81,"Davidson, Mariko",$0.00,$0.00,12/15/2015,12/1/2015,,False,$28.81,$0.00,16129,12/17/2015,False,$401.38,557265,2015,$0.00,Bank Report,12/1 - 12/15/2015
Mariko,$967.65,D,$0.00,"$2,595.03",72,555464,$0.00,60002,,,$0.00,"$1,627.38",2015-12-01T17:20:10.277,12/1/2015,Bank Reporter 3,0.0,"Davidson, Mariko",$0.00,$0.00,11/30/2015,11/16/2015,,False,$0.00,$0.00,16129,12/1/2015,False,"$1,627.38",555464,2015,$0.00,Bank Report,11/16 - 11/30/2015
Mariko,"$2,595.03",D,$0.00,"$2,433.47",71,554032,$0.00,60002,,,"$1,887.57","$1,726.01",2015-11-17T18:32:52.017,11/17/2015,Bank Reporter 3,1887.57,"Davidson, Mariko",$0.00,$0.00,11/15/2015,11/1/2015,,False,"$1,887.57",$0.00,16129,11/17/2015,False,"$1,726.01",554032,2015,$0.00,Bank Report,11/1 - 11/15/2015
Mariko,"$2,433.47",D,$0.00,"$6,663.93",72,552347,$0.00,60002,,,"$2,009.15","$6,239.61",2015-11-03T09:37:58.67,11/3/2015,Bank Reporter 3,2009.15,"Davidson, Mariko",$0.00,$0.00,10/31/2015,10/16/2015,,False,"$2,009.15",$0.00,16129,11/3/2015,False,"$6,239.61",552347,2015,$0.00,Bank Report,10/16 - 10/31/2015
Mariko,"$6,663.93",D,$0.00,"$6,784.33",71,550658,$0.00,60002,,,"$2,511.69","$2,632.09",2015-10-19T18:37:11.683,10/19/2015,Bank Reporter 3,2511.69,"Davidson, Mariko",$0.00,$0.00,10/15/2015,10/1/2015,,False,"$2,511.69",$0.00,16129,10/19/2015,False,"$2,632.09",550658,2015,$0.00,Bank Report,10/1 - 10/15/2015
Mariko,"$6,784.33",D,$0.00,"$4,221.02",72,548916,$0.00,60002,,,"$3,631.56","$1,068.25",2015-10-05T12:46:49.927,10/5/2015,Bank Reporter 3,3631.56,"Davidson, Mariko",$0.00,$0.00,9/30/2015,9/16/2015,,False,"$3,631.56",$0.00,16129,10/5/2015,False,"$1,068.25",548916,2015,$0.00,Bank Report,9/16 - 9/30/2015
Mariko,"$4,221.02",D,$0.00,"$4,405.31",71,546893,$0.00,60002,,,$370.63,$554.92,2015-09-18T08:11:51.86,9/18/2015,Bank Reporter 3,370.63,"Davidson, Mariko",$0.00,$0.00,9/15/2015,9/1/2015,,False,$370.63,$0.00,16129,9/18/2015,False,$554.92,546893,2015,$0.00,Bank Report,9/1 - 9/15/2015
Mariko,"$4,405.31",D,$0.00,"$2,104.17",72,544731,$0.00,60002,,,"$2,465.63",$164.49,2015-09-01T13:27:57.153,9/1/2015,Bank Reporter 3,2465.63,"Davidson, Mariko",$0.00,$0.00,8/31/2015,8/16/2015,,False,"$2,465.63",$0.00,16129,9/1/2015,False,$164.49,544731,2015,$0.00,Bank Report,8/16 - 8/31/2015
