meeting_id,item_id,item_description,item_body,Jan Devereux,Dennis J Carlone,Nadeem A Mazen,E Denise Simmons,Timothy J Toomey,Craig A Kelley,Leland Cheung,Marc C McGovern,David P Maher
1022,1836," Transmitting Communication from Richard C. Rossi, City Manager, relative to the transfer of HUD Planning Grant funds from the Grant Fund Human Services Other Ordinary Maintenance account in the amount of $2,600 to the Travel and Training account to be used for attendance at the national Housing First Partners conference in March, 2016.","I am hereby requesting the transfer of HUD Planning Grant funds from the Grant
Fund Human Services Other Ordinary Maintenance account in the amount of $2,600
to the Grant Fund Human Services Travel and Training account.

This transfer of funds will be used for attendance at the national Housing
First Partners conference in March, 2016.

",Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea
1562,2484," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of $700,000 from Free Cash to the Public Investment Fund Public Works Extraordinary Expenditure to provide funds for the construction costs for the Clarendon Avenue Playground.","I am hereby requesting the appropriation of $700,000 from Free Cash to the
­­­­Public Investment Fund Public Works Extraordinary Expenditure to provide
funds for the construction costs for the Clarendon Avenue Playground.

The above amount, when added to the $260,000 appropriated from Community
Preservation Funds in FY16, will bring the total project cost to $960,000. The
amount requested through Community Preservation Funds in FY16 was in
anticipation of additional funding to complete construction. This project was
considered as part of the Community Preservation Act process, but it was
determined at that time by the City that a separate appropriation from Free
Cash was the best way to finance this additional appropriation.

This open space renovation project will involve a comprehensive redesign of
the park, including new equipment, surfacing, seating areas, passive elements,
and landscaping.

The design will include a community process which is expected to begin later
in 2016, followed by construction on the park.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1557,2145," Mayor Simmons filed reconsideration of the vote taken on March 14, 2016 adopting an order for a curb cut at the premises numbered 41 Gibson Street.",,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay
1565,2623," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of the Festivals Program of the Massachusetts Cultural Council grant for $500 to the Grant Fund Public Celebrations (Arts Council) Other Ordinary Maintenance account. Funds will be used to support the Cambridge Arts River Festival.","I am hereby requesting the appropriation of the Festivals Program of the
Massachusetts Cultural Council grant for $500 to the Grant Fund Public
Celebrations (Arts Council) Other Ordinary Maintenance account. Funds will be
used to support the Cambridge Arts River Festival.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
1621,3752," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the Jacob’s Foundation for $7,300 to the Grant Fund Human Services Salary and Wages account which will be used to support the salary costs of a part-time Cambridge Employment Program (CEP) Career Counselor who will provide services exclusively to CLC students on site.","I am hereby requesting the appropriation of a grant from the Jacob’s
Foundation for $7,300 to the Grant Fund Human Services Salary and Wages
account.

These funds will be used to support the salary costs of a part-time Cambridge
Employment Program (CEP) Career Counselor who will provide services
exclusively to CLC students on site. The funds will enhance the partnership
between DHSP’s Office of Workforce Development and the Community Learning
Center to provide career counseling services for CLC students from a dedicated
CEP counselor.

",Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea
1021,1771," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of $2,000 from Project Bread to the Grant Fund Human Services Other Ordinary Maintenance account and will be used by the  Cambridge Senior Center Food Pantry to pay for purchases at the Greater Boston Food Bank, and for other food purchases for our Senior Food Pantry.","I am hereby requesting the appropriation of $2,000 from Project Bread to the
Grant Fund Human Services Other Ordinary Maintenance account.

These funds were awarded to the Cambridge Senior Center Food Pantry to pay for
purchases at the Greater Boston Food Bank, and for other food purchases for
our Senior Food Pantry.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea
1869,4638," Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation and authorization to borrow $4,000,000 to provide funds for the reconstruction of various City streets and sidewalks.","Please find attached an order requesting the appropriation and authorization
to borrow $4,000,000 to provide funds for the reconstruction of various City
streets and sidewalks. This order is being submitted for the April 24, 2017
City Council meeting to allow the City Council to vote on this order on May
22, 2017 which is the projected date for City Council adoption of the FY18
Budget. Approval of loan orders on budget adoption night has been the practice
for several years.

If passed to a second reading on April 24, 2017, the City will comply with all
legal requirements so that the order may be adopted on May 22, 2017. Please
see the Public Investment Section in the FY18 Submitted Budget for additional
information on this project. The Finance Committee hearing on the FY18 Public
Investment Budget is scheduled for May 10, 2017.

",Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Yea
1585,3084," Transmitting communication from Richard C. Rossi, City Manager, relative to the appropriation of the Universal Pre-Kindergarten (UPK) grant for the King Open Preschool and the Martin Luther King Jr. Preschool in the amount of $45,000 received from the Massachusetts Department of Early Education and Care to the Grant Fund Human Services Salaries and Wages account ($3,185) and to the Grant Fund Human Services Other Ordinary Maintenance account ($41,815), to be used to improve the quality of education for preschool children through professional development, curriculum enrichment, and parent involvement.","I am hereby requesting the appropriation of the Universal Pre-Kindergarten
(UPK) grant for the King Open Preschool and the Martin Luther King Jr.
Preschool in the amount of $45,000 received from the Massachusetts Department
of Early Education and Care to the Grant Fund Human Services Salaries and
Wages account ($3,185) and to the Grant Fund Human Services Other Ordinary
Maintenance account ($41,815).

These funds are intended to improve the quality of education for preschool
children through professional development, curriculum enrichment, and parent
involvement. As a result, grant funding will be used to support staff
professional development, the purchase of supplies to improve classroom
instruction, and parent outreach efforts including food and childcare.

",Yea,Yea,Yea,Absent,Yea,Absent,Yea,Yea,Yea
1872,5044," A communication transmitted from Louis A. DePasquale, City Manager, relative to a request that the City Council vote to designate the contracted part-time position of property appraiser as a special municipal employee for purposes of the state Conflict of Interest Law, G.L.c.268A.","I request that the City Council vote to designate the contracted part-time
position of property appraiser as a special municipal employee for purposes of
the state Conflict of Interest Law, G.L.c.268A, by adopting the attached
Order.

The City occasionally contracts with third-party property appraisers to
perform appraisals for the City. For purposes of the Massachusetts Conflict of
Interest Law, when the City contracts with a particular appraiser, that
appraiser is considered a regular municipal employee, subject to all the
Conflict of Interest Law’s restrictions on regular municipal employees. If the
City Council designates this position to be that of a special municipal
employee, certain of the Conflict of Interest Law’s restrictions would apply
less broadly to such individuals, including G.L.c.268A, s.17 which pertains in
part to acting as agent for third parties on matters of interest to the City,
and G.L.c.268A, s.20 which pertains to having more than one contract with the
same City. Some contracted property appraisers have requested that the
position of contracted property appraiser be designated by the City Council as
a special municipal employee so that the Conflict of Interest Law will not
excessively restrict their private professional activities.

Pursuant to G.L.c.268A, positions, not individuals, may be designated as
special municipal employees by vote of the City Council if the position is
part-time allowing work by the individual holding the position at another job
during normal working hours; or the position is not paid by the city for more
than 800 working hours during a 365 day period. The position at issue meets
both of these conditions.

G.L.c.268A, s.17 generally prohibits municipal employees from representing a
private party before municipal boards or departments. It also prohibits
municipal employees from acting as agent for a private party in connection
with any matter of direct and substantial interest to their city or town.
Finally, it prohibits municipal employees from accepting pay or other
compensation in connection with any matter of direct and substantial interest
to their municipality. However, a special municipal employee may: (a)
represent private parties before municipal boards other than his/her own in
certain circumstances; (b) act as agent for private parties in connection with
a matter of interest to the City in certain circumstances; and (c) receive pay
or other compensation in connection with matters involving the City in certain
circumstances.  
  
G.L.c.268A, s.20 generally prohibits municipal employees from having a direct
or indirect financial interest in a contract with their city or town. However,
a special municipal employee has the following exemptions to section 20: A
special municipal employee may have a financial interest in a contract with a
department which is completely independent of the one where he/she works,
provided that a disclosure is filed with the City Clerk. A special municipal
employee may have a financial interest in a contract with his/her own
department, with the appropriate disclosure and approvals. A special municipal
employee may also hold any number of other special municipal employee
positions, with the appropriate disclosure and approvals.  
  
Therefore, for the above reasons, I request that the City Council vote to
designate the position of contracted part-time property appraiser as that of a
special municipal employee.

",Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Absent
1569,2941," Transmitting Communication from Richard C. Rossi, City Manager, relative to the appropriation of a Sustained Traffic Enforcement Program (STEP) grant from the Massachusetts Executive Office of Public Safety and Security’s (EOPSS) Highway Division in the amount of $50,000 to the Grant Fund Police Department Salary and Wages account, to be used to supplement sustained, high visibility, year-round traffic enforcement.","I am hereby requesting the appropriation of a Sustained Traffic Enforcement
Program (STEP) grant from the Massachusetts Executive Office of Public Safety
and Security’s (EOPSS) Highway Division in the amount of $50,000 to the Grant
Fund Police Department Salary and Wages account.

This grant will be used to supplement sustained, high visibility, year-round
traffic enforcement. The Department will use this grant to conduct enforcement
in specific locations throughout the city that have had serious crash and
injury problems in the past.

",Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
